Epoch,Train Loss,Train Acc,Val Loss,Val Acc,Val F1,LR,Saved Best Model
1,0.4245,0.8389,0.5228,0.9193,0.92,0.0001,Yes
2,0.092,0.9688,0.2286,0.9651,0.9662,0.0001,Yes
3,0.05,0.9852,0.2084,0.9731,0.9738,0.0001,Yes
4,0.0319,0.9903,0.1625,0.9771,0.9784,0.0001,Yes
5,0.0314,0.9891,0.1955,0.9532,0.954,9.9e-05,No
6,0.0201,0.9936,0.2258,0.9771,0.978,9.9e-05,No
7,0.0171,0.9957,0.1107,0.9631,0.9646,9.9e-05,No
8,0.0061,0.9984,0.1683,0.9771,0.9778,9.8e-05,No
9,0.0073,0.9976,0.1719,0.9761,0.9769,9.8e-05,No
10,0.0079,0.9973,0.4344,0.9392,0.9409,9.8e-05,No
11,0.0078,0.998,0.1951,0.9821,0.9829,9.7e-05,Yes
12,0.0107,0.9967,0.2368,0.9731,0.9738,9.6e-05,No
13,0.0133,0.9955,0.1183,0.9801,0.9811,9.6e-05,No
14,0.0192,0.9944,0.2562,0.9622,0.9629,9.5e-05,No
15,0.0138,0.9958,0.1839,0.9651,0.9662,9.5e-05,No
16,0.0078,0.9972,0.2023,0.9731,0.9732,9.4e-05,No
17,0.0027,0.9996,0.1668,0.9801,0.9808,9.3e-05,No
18,0.0037,0.9991,0.297,0.9651,0.9645,9.2e-05,No
19,0.0018,0.9996,0.1822,0.9821,0.983,9.1e-05,Yes
20,0.0032,0.9994,0.2204,0.9811,0.9817,9e-05,No
21,0.0078,0.9976,0.3185,0.9731,0.9741,9e-05,No
22,0.0016,0.9995,0.2711,0.9751,0.9756,8.9e-05,No
23,0.0013,0.9999,0.2995,0.9811,0.982,8.8e-05,No
24,0.0013,0.9997,0.1614,0.9791,0.9798,8.6e-05,No
25,0.0012,0.9996,0.2933,0.9801,0.9809,8.5e-05,No
26,0.0121,0.9972,0.3324,0.9353,0.9337,8.4e-05,No
27,0.009,0.9973,0.3548,0.9681,0.968,8.3e-05,No
28,0.0073,0.998,0.241,0.9791,0.9798,8.2e-05,No
29,0.0035,0.9992,0.1928,0.9801,0.9807,8.1e-05,No
30,0.0086,0.9973,0.3647,0.9552,0.9518,7.9e-05,No
31,0.0094,0.9975,0.1204,0.9781,0.9788,7.8e-05,No
32,0.0044,0.9986,0.2004,0.9801,0.9811,7.7e-05,No
33,0.002,0.9994,0.1918,0.9781,0.9782,7.5e-05,No
34,0.0005,0.9999,0.149,0.9791,0.9798,7.4e-05,No
35,0.0005,1.0,0.2359,0.9821,0.9831,7.3e-05,Yes
36,0.0002,1.0,0.228,0.9691,0.968,7.1e-05,No
37,0.0001,1.0,0.1417,0.9791,0.9798,7e-05,No
38,0.0003,1.0,0.1797,0.9771,0.9776,6.8e-05,No
39,0.0001,1.0,0.1667,0.9821,0.9831,6.7e-05,No
40,0.0001,1.0,0.184,0.9811,0.9821,6.5e-05,No
41,0.0,1.0,0.1709,0.9801,0.9811,6.4e-05,No
42,0.0034,0.9985,0.3071,0.9731,0.974,6.2e-05,No
43,0.0135,0.9949,0.3072,0.9751,0.9753,6.1e-05,No
44,0.0039,0.9989,0.2372,0.9791,0.9797,5.9e-05,No
45,0.0009,0.9999,0.2467,0.9811,0.9819,5.8e-05,No
46,0.0076,0.9979,0.2352,0.9821,0.9831,5.6e-05,Yes
47,0.0019,0.9996,0.2249,0.9831,0.9841,5.5e-05,Yes
48,0.0003,1.0,0.2251,0.9821,0.9828,5.3e-05,No
49,0.0002,1.0,0.1969,0.9831,0.9841,5.2e-05,No
50,0.0001,1.0,0.2228,0.9831,0.9841,5e-05,No
51,0.0001,1.0,0.2134,0.9831,0.9841,4.8e-05,No
52,0.0001,1.0,0.2137,0.9831,0.9841,4.7e-05,No
53,0.0001,1.0,0.2458,0.9831,0.9841,4.5e-05,No
